iter	Passed	Remaining
0	58	58378
1	58	29322
2	59	19643
3	59	14802
4	59	11904
5	60	9968
6	60	8588
7	60	7550
8	61	6737
9	61	6088
10	61	5559
11	62	5119
12	62	4749
13	62	4435
14	63	4158
15	64	3962
16	64	3747
17	65	3558
18	65	3387
19	66	3265
20	66	3122
21	67	2993
22	67	2875
23	68	2766
24	68	2666
25	68	2574
26	69	2488
27	69	2408
28	69	2334
29	70	2264
30	70	2202
31	70	2142
32	71	2086
33	71	2034
34	71	1983
35	72	1935
36	72	1890
37	72	1846
38	73	1806
39	73	1767
40	73	1730
41	74	1695
42	74	1661
43	74	1629
44	75	1598
45	75	1570
46	76	1542
47	76	1515
48	76	1490
49	77	1465
50	77	1442
51	77	1419
52	78	1399
53	78	1378
54	79	1358
55	79	1341
56	79	1321
57	80	1303
58	80	1284
59	80	1267
60	81	1249
61	81	1233
62	81	1217
63	82	1201
64	82	1186
65	82	1173
66	83	1159
67	83	1142
68	83	1129
69	84	1116
70	84	1106
71	84	1094
72	85	1083
73	85	1072
74	86	1061
75	86	1050
76	86	1039
77	87	1030
78	87	1019
79	87	1009
80	88	1000
81	88	990
82	88	981
83	89	972
84	89	961
85	89	953
86	89	942
87	90	934
88	90	927
89	90	919
90	91	911
91	91	904
92	92	897
93	92	890
94	92	883
95	93	875
96	93	868
97	93	862
98	94	856
99	94	849
100	94	844
101	94	835
102	95	829
103	95	823
104	95	817
105	96	811
106	96	805
107	96	800
108	97	794
109	97	789
110	97	783
111	98	778
112	98	773
113	98	768
114	99	763
115	99	758
116	99	753
117	100	748
118	100	743
119	100	738
120	100	733
121	101	729
122	101	724
123	101	720
124	102	715
125	102	712
126	103	708
127	103	702
128	103	699
129	104	696
130	104	692
131	104	688
132	105	684
133	105	681
134	105	677
135	106	673
136	106	669
137	106	665
138	106	661
139	107	658
140	107	654
141	107	651
142	108	647
143	108	644
144	108	640
145	109	640
146	109	637
147	110	635
148	110	632
149	111	629
150	111	625
151	111	622
152	111	619
153	112	617
154	112	614
155	113	611
156	113	608
157	113	605
158	113	602
159	114	599
160	114	597
161	114	594
162	115	591
163	115	589
164	115	586
165	116	583
166	116	581
167	116	578
168	117	576
169	117	574
170	117	571
171	118	569
172	118	566
173	118	564
174	119	561
175	119	559
176	119	557
177	120	554
178	120	552
179	121	553
180	121	550
181	121	548
182	122	546
183	122	543
184	122	541
185	123	539
186	123	537
187	123	534
188	124	532
189	124	530
190	124	529
191	125	527
192	125	525
193	126	523
194	126	521
195	126	519
196	126	517
197	127	515
198	127	513
199	127	511
200	128	509
201	128	508
202	128	506
203	129	504
204	129	502
205	129	500
206	130	499
207	130	497
208	131	495
209	131	494
210	131	492
211	131	490
212	132	488
213	132	487
214	133	485
215	133	484
216	133	482
217	134	481
218	134	479
219	134	477
220	135	476
221	135	474
222	135	472
223	136	471
224	136	469
225	136	468
226	137	466
227	137	465
228	137	463
229	138	462
230	138	460
231	138	459
232	139	457
233	139	456
234	139	454
235	139	453
236	140	451
237	140	450
238	141	448
239	141	447
240	141	446
241	142	447
242	143	445
243	143	444
244	143	443
245	144	441
246	144	440
247	144	439
248	145	438
249	145	436
250	145	435
251	146	433
252	146	432
253	146	431
254	147	430
255	147	428
256	147	427
257	148	426
258	148	424
259	148	423
260	149	422
261	149	421
262	149	420
263	150	418
264	150	417
265	150	416
266	152	417
267	152	416
268	152	415
269	153	413
270	153	412
271	153	411
272	154	410
273	154	409
274	154	407
275	154	406
276	155	405
277	155	404
278	155	403
279	156	401
280	156	400
281	157	399
282	157	398
